VisitID,EntryTime,LeaveTime,Duration(minute),IsNiceWeather,Temperature,IsHoliday
1362,2016-05-01 06:03:00,2016-05-01 06:27:00,24,true,284.84,false
1896,2016-05-01 06:05:00,2016-05-01 06:35:00,30,true,284.84,false
1515,2016-05-01 06:06:00,2016-05-01 06:46:00,40,true,284.84,false
149,2016-05-01 06:07:00,2016-05-01 06:51:00,44,true,284.84,false
626,2016-05-01 06:14:00,2016-05-01 06:47:00,33,true,284.84,false
64,2016-05-01 06:15:00,2016-05-01 06:52:00,37,true,284.84,false
667,2016-05-01 06:16:00,2016-05-01 06:57:00,41,true,284.84,false
961,2016-05-01 06:21:00,2016-05-01 06:45:00,24,true,284.84,false
1568,2016-05-01 06:30:00,2016-05-01 07:07:00,37,true,284.84,false
852,2016-05-01 06:31:00,2016-05-01 07:05:00,34,true,284.84,false
1976,2016-05-01 06:31:00,2016-05-01 07:02:00,31,true,284.84,false
1703,2016-05-01 06:32:00,2016-05-01 07:13:00,41,true,284.84,false
1697,2016-05-01 06:35:00,2016-05-01 07:08:00,33,true,284.84,false
328,2016-05-01 06:39:00,2016-05-01 07:18:00,39,true,284.84,false
799,2016-05-01 06:39:00,2016-05-01 07:33:00,54,true,284.84,false
1094,2016-05-01 06:44:00,2016-05-01 07:18:00,34,true,284.84,false
855,2016-05-01 06:47:00,2016-05-01 07:17:00,30,true,284.84,false
1866,2016-05-01 06:53:00,2016-05-01 07:16:00,23,true,284.84,false
1256,2016-05-01 08:08:00,2016-05-01 08:46:00,38,true,282.81,false
994,2016-05-01 08:09:00,2016-05-01 08:46:00,37,true,282.81,false
1665,2016-05-01 08:16:00,2016-05-01 08:44:00,28,true,282.81,false
445,2016-05-01 08:20:00,2016-05-01 08:58:00,38,true,282.81,false
120,2016-05-01 08:23:00,2016-05-01 08:50:00,27,true,282.81,false
683,2016-05-01 08:25:00,2016-05-01 09:03:00,38,true,282.81,false
1056,2016-05-01 08:35:00,2016-05-01 09:02:00,27,true,282.81,false
848,2016-05-01 08:36:00,2016-05-01 08:57:00,21,true,282.81,false
1856,2016-05-01 08:47:00,2016-05-01 09:27:00,40,true,282.81,false
239,2016-05-01 08:48:00,2016-05-01 09:10:00,22,true,282.81,false
485,2016-05-01 08:52:00,2016-05-01 09:38:00,46,true,282.81,false
454,2016-05-01 08:56:00,2016-05-01 09:26:00,30,true,282.81,false
298,2016-05-01 09:00:00,2016-05-01 09:42:00,42,true,281.99,false
612,2016-05-01 09:00:00,2016-05-01 09:48:00,48,true,281.99,false
1595,2016-05-01 09:00:00,2016-05-01 09:38:00,38,true,281.99,false
1623,2016-05-01 09:00:00,2016-05-01 09:50:00,50,true,281.99,false
1642,2016-05-01 09:00:00,2016-05-01 09:50:00,50,true,281.99,false
1862,2016-05-01 09:00:00,2016-05-01 09:49:00,49,true,281.99,false
134,2016-05-01 09:01:00,2016-05-01 09:25:00,24,true,281.99,false
139,2016-05-01 09:01:00,2016-05-01 09:47:00,46,true,281.99,false
1840,2016-05-01 09:01:00,2016-05-01 09:55:00,54,true,281.99,false
277,2016-05-01 09:02:00,2016-05-01 09:39:00,37,true,281.99,false
915,2016-05-01 09:02:00,2016-05-01 09:35:00,33,true,281.99,false
1062,2016-05-01 09:02:00,2016-05-01 09:42:00,40,true,281.99,false
1824,2016-05-01 09:02:00,2016-05-01 09:52:00,50,true,281.99,false
59,2016-05-01 09:03:00,2016-05-01 09:49:00,46,true,281.99,false
1773,2016-05-01 09:03:00,2016-05-01 09:48:00,45,true,281.99,false
344,2016-05-01 09:04:00,2016-05-01 09:41:00,37,true,281.99,false
725,2016-05-01 09:04:00,2016-05-01 09:26:00,22,true,281.99,false
1634,2016-05-01 09:04:00,2016-05-01 09:32:00,28,true,281.99,false
588,2016-05-01 09:05:00,2016-05-01 09:41:00,36,true,281.99,false
1237,2016-05-01 09:05:00,2016-05-01 09:50:00,45,true,281.99,false
1332,2016-05-01 09:05:00,2016-05-01 09:43:00,38,true,281.99,false
1659,2016-05-01 09:06:00,2016-05-01 09:44:00,38,true,281.99,false
137,2016-05-01 09:07:00,2016-05-01 09:34:00,27,true,281.99,false
677,2016-05-01 09:09:00,2016-05-01 09:56:00,47,true,281.99,false
748,2016-05-01 09:10:00,2016-05-01 09:41:00,31,true,281.99,false
1920,2016-05-01 09:10:00,2016-05-01 09:35:00,25,true,281.99,false
14,2016-05-01 09:11:00,2016-05-01 09:42:00,31,true,281.99,false
682,2016-05-01 09:12:00,2016-05-01 10:07:00,55,true,281.99,false
1148,2016-05-01 09:12:00,2016-05-01 09:57:00,45,true,281.99,false
297,2016-05-01 09:13:00,2016-05-01 09:57:00,44,true,281.99,false
1531,2016-05-01 09:13:00,2016-05-01 09:47:00,34,true,281.99,false
841,2016-05-01 09:14:00,2016-05-01 09:39:00,25,true,281.99,false
1754,2016-05-01 09:14:00,2016-05-01 09:52:00,38,true,281.99,false
778,2016-05-01 09:15:00,2016-05-01 09:38:00,23,true,281.99,false
1537,2016-05-01 09:16:00,2016-05-01 09:52:00,36,true,281.99,false
638,2016-05-01 09:19:00,2016-05-01 09:49:00,30,true,281.99,false
601,2016-05-01 09:20:00,2016-05-01 10:07:00,47,true,281.99,false
976,2016-05-01 09:20:00,2016-05-01 09:51:00,31,true,281.99,false
150,2016-05-01 09:21:00,2016-05-01 09:43:00,22,true,281.99,false
1603,2016-05-01 09:21:00,2016-05-01 10:02:00,41,true,281.99,false
1670,2016-05-01 09:22:00,2016-05-01 09:53:00,31,true,281.99,false
1836,2016-05-01 09:22:00,2016-05-01 10:15:00,53,true,281.99,false
1009,2016-05-01 09:24:00,2016-05-01 10:10:00,46,true,281.99,false
402,2016-05-01 09:27:00,2016-05-01 10:12:00,45,true,281.99,false
529,2016-05-01 09:27:00,2016-05-01 10:24:00,57,true,281.99,false
1483,2016-05-01 09:27:00,2016-05-01 09:58:00,31,true,281.99,false
550,2016-05-01 09:28:00,2016-05-01 09:49:00,21,true,281.99,false
652,2016-05-01 09:29:00,2016-05-01 09:58:00,29,true,281.99,false
727,2016-05-01 09:29:00,2016-05-01 10:15:00,46,true,281.99,false
1868,2016-05-01 09:29:00,2016-05-01 09:53:00,24,true,281.99,false
197,2016-05-01 09:30:00,2016-05-01 10:10:00,40,true,281.99,false
646,2016-05-01 09:30:00,2016-05-01 10:22:00,52,true,281.99,false
1139,2016-05-01 09:31:00,2016-05-01 10:08:00,37,true,281.99,false
1310,2016-05-01 09:31:00,2016-05-01 10:14:00,43,true,281.99,false
1519,2016-05-01 09:31:00,2016-05-01 10:03:00,32,true,281.99,false
459,2016-05-01 09:32:00,2016-05-01 10:07:00,35,true,281.99,false
1142,2016-05-01 09:32:00,2016-05-01 10:04:00,32,true,281.99,false
759,2016-05-01 09:33:00,2016-05-01 10:05:00,32,true,281.99,false
846,2016-05-01 09:34:00,2016-05-01 10:13:00,39,true,281.99,false
32,2016-05-01 09:36:00,2016-05-01 10:13:00,37,true,281.99,false
456,2016-05-01 09:37:00,2016-05-01 10:11:00,34,true,281.99,false
985,2016-05-01 09:37:00,2016-05-01 10:27:00,50,true,281.99,false
1032,2016-05-01 09:40:00,2016-05-01 10:18:00,38,true,281.99,false
726,2016-05-01 09:42:00,2016-05-01 10:32:00,50,true,281.99,false
796,2016-05-01 09:42:00,2016-05-01 10:10:00,28,true,281.99,false
1042,2016-05-01 09:43:00,2016-05-01 10:21:00,38,true,281.99,false
1334,2016-05-01 09:43:00,2016-05-01 10:18:00,35,true,281.99,false
913,2016-05-01 09:45:00,2016-05-01 10:16:00,31,true,281.99,false
1331,2016-05-01 09:45:00,2016-05-01 10:18:00,33,true,281.99,false
914,2016-05-01 09:46:00,2016-05-01 10:14:00,28,true,281.99,false
1466,2016-05-01 09:46:00,2016-05-01 10:28:00,42,true,281.99,false
